feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Lachnospira eligens_A AF06-14,Lachnospira eligens_A AM48-8,0.94204,pos,0.94204,0,0
Lachnospira eligens_A AF18-47,Lachnospira eligens_A AM48-8,0.92935,pos,0.92935,0,0
Lachnospira eligens_A AF35-21,Lachnospira eligens_A AM48-8,0.9295,pos,0.9295,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira eligens_A AM48-8,0.65852,pos,0.65852,0,0
Lachnospira eligens_A AF41-18,Lachnospira eligens_A AM48-8,0.87917,pos,0.87917,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira eligens_A AM48-8,0.7567,pos,0.7567,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira eligens_A AM48-8,0.91518,pos,0.91518,0,0
Lachnospira eligens_A AM14-19,Lachnospira eligens_A AM48-8,0.9191,pos,0.9191,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira eligens_A AM48-8,0.93363,pos,0.93363,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira eligens_A AM48-8,0.95553,pos,0.95553,0,0
Lachnospira eligens_A AM43-40,Lachnospira eligens_A AM48-8,0.63875,pos,0.63875,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira eligens_A GCA_001404435,0.48152,pos,0.48152,0,0
Acetatifactor sp. 13470_2_92,Lachnospira eligens_A GCA_001404435,0.48262,pos,0.48262,0,0
Acetatifactor sp. AF34-10BH,Lachnospira eligens_A GCA_001404435,0.5036,pos,0.5036,0,0
Acetatifactor sp. AF36-18BH,Lachnospira eligens_A GCA_001404435,0.49751,pos,0.49751,0,0
Acetatifactor sp. AF46-9NS,Lachnospira eligens_A GCA_001404435,0.45837,pos,0.45837,0,0
Acetatifactor sp. AM34-9AC,Lachnospira eligens_A GCA_001404435,0.49729,pos,0.49729,0,0
Acetatifactor sp. GCA_003584705,Lachnospira eligens_A GCA_001404435,0.4806,pos,0.4806,0,0
Acetatifactor sp. TF08-15,Lachnospira eligens_A GCA_001404435,0.48692,pos,0.48692,0,0
Acetatifactor sp. TM11-1A,Lachnospira eligens_A GCA_001404435,0.47617,pos,0.47617,0,0
Agathobacter faecis 21673_4_84,Lachnospira eligens_A GCA_001404435,0.34439,pos,0.34439,0,0
Agathobacter faecis GCA_001405615,Lachnospira eligens_A GCA_001404435,0.35227,pos,0.35227,0,0
Agathobacter faecis GCA_001406815,Lachnospira eligens_A GCA_001404435,0.34489,pos,0.34489,0,0
Agathobacter faecis GCA_015549075,Lachnospira eligens_A GCA_001404435,0.35207,pos,0.35207,0,0
Agathobacter faecis GCA_015550045,Lachnospira eligens_A GCA_001404435,0.38109,pos,0.38109,0,0
Agathobacter faecis GCA_015556245,Lachnospira eligens_A GCA_001404435,0.32302,pos,0.32302,0,0
Agathobacter faecis GCA_015558055,Lachnospira eligens_A GCA_001404435,0.37755,pos,0.37755,0,0
Agathobacter faecis GCA_015667215,Lachnospira eligens_A GCA_001404435,0.37683,pos,0.37683,0,0
Agathobacter faecis TF10-5,Lachnospira eligens_A GCA_001404435,0.34937,pos,0.34937,0,0
Lachnospira eligens GCA_000146185,Lachnospira eligens_A GCA_001404435,0.90098,pos,0.90098,0,0
Lachnospira eligens_A AF06-14,Lachnospira eligens_A GCA_001404435,0.87519,pos,0.87519,0,0
Lachnospira eligens_A AF18-47,Lachnospira eligens_A GCA_001404435,0.87203,pos,0.87203,0,0
Lachnospira eligens_A AF35-21,Lachnospira eligens_A GCA_001404435,0.86629,pos,0.86629,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira eligens_A GCA_001404435,0.56939,pos,0.56939,0,0
Lachnospira eligens_A AF41-18,Lachnospira eligens_A GCA_001404435,0.80352,pos,0.80352,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira eligens_A GCA_001404435,0.66407,pos,0.66407,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira eligens_A GCA_001404435,0.82856,pos,0.82856,0,0
Lachnospira eligens_A AM14-19,Lachnospira eligens_A GCA_001404435,0.86012,pos,0.86012,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira eligens_A GCA_001404435,0.85659,pos,0.85659,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira eligens_A GCA_001404435,0.8758,pos,0.8758,0,0
Lachnospira eligens_A AM43-40,Lachnospira eligens_A GCA_001404435,0.57531,pos,0.57531,0,0
Lachnospira eligens_A AM48-8,Lachnospira eligens_A GCA_001404435,0.8717,pos,0.8717,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira eligens_A GCA_001405395,0.52138,pos,0.52138,0,0
Acetatifactor sp. 13470_2_92,Lachnospira eligens_A GCA_001405395,0.50164,pos,0.50164,0,0
Acetatifactor sp. AF34-10BH,Lachnospira eligens_A GCA_001405395,0.51669,pos,0.51669,0,0
Acetatifactor sp. AF36-18BH,Lachnospira eligens_A GCA_001405395,0.51948,pos,0.51948,0,0
Acetatifactor sp. AF46-9NS,Lachnospira eligens_A GCA_001405395,0.46671,pos,0.46671,0,0
Acetatifactor sp. AM34-9AC,Lachnospira eligens_A GCA_001405395,0.5155,pos,0.5155,0,0
Acetatifactor sp. GCA_003584705,Lachnospira eligens_A GCA_001405395,0.49556,pos,0.49556,0,0
Acetatifactor sp. TF08-15,Lachnospira eligens_A GCA_001405395,0.5184,pos,0.5184,0,0
Acetatifactor sp. TM11-1A,Lachnospira eligens_A GCA_001405395,0.50905,pos,0.50905,0,0
Agathobacter faecis 21673_4_84,Lachnospira eligens_A GCA_001405395,0.35766,pos,0.35766,0,0
Agathobacter faecis GCA_001405615,Lachnospira eligens_A GCA_001405395,0.35221,pos,0.35221,0,0
Agathobacter faecis GCA_001406815,Lachnospira eligens_A GCA_001405395,0.37112,pos,0.37112,0,0
Agathobacter faecis GCA_015549075,Lachnospira eligens_A GCA_001405395,0.35533,pos,0.35533,0,0
Agathobacter faecis GCA_015550045,Lachnospira eligens_A GCA_001405395,0.39472,pos,0.39472,0,0
Agathobacter faecis GCA_015556245,Lachnospira eligens_A GCA_001405395,0.34695,pos,0.34695,0,0
Agathobacter faecis GCA_015558055,Lachnospira eligens_A GCA_001405395,0.37032,pos,0.37032,0,0
Agathobacter faecis GCA_015559645,Lachnospira eligens_A GCA_001405395,0.30124,pos,0.30124,0,0
Agathobacter faecis GCA_015667215,Lachnospira eligens_A GCA_001405395,0.38745,pos,0.38745,0,0
Agathobacter faecis TF10-5,Lachnospira eligens_A GCA_001405395,0.37982,pos,0.37982,0,0
Enterocloster bolteae GCF_000154365,Lachnospira eligens_A GCA_001405395,0.32154,neg,-0.32154,0,0
Lachnospira eligens GCA_000146185,Lachnospira eligens_A GCA_001405395,0.89539,pos,0.89539,0,0
Lachnospira eligens_A AF06-14,Lachnospira eligens_A GCA_001405395,0.91685,pos,0.91685,0,0
Lachnospira eligens_A AF18-47,Lachnospira eligens_A GCA_001405395,0.91178,pos,0.91178,0,0
Lachnospira eligens_A AF35-21,Lachnospira eligens_A GCA_001405395,0.90841,pos,0.90841,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira eligens_A GCA_001405395,0.66231,pos,0.66231,0,0
Lachnospira eligens_A AF41-18,Lachnospira eligens_A GCA_001405395,0.85005,pos,0.85005,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira eligens_A GCA_001405395,0.70108,pos,0.70108,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira eligens_A GCA_001405395,0.8825,pos,0.8825,0,0
Lachnospira eligens_A AM14-19,Lachnospira eligens_A GCA_001405395,0.89796,pos,0.89796,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira eligens_A GCA_001405395,0.90511,pos,0.90511,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira eligens_A GCA_001405395,0.90601,pos,0.90601,0,0
Lachnospira eligens_A AM43-40,Lachnospira eligens_A GCA_001405395,0.62933,pos,0.62933,0,0
Lachnospira eligens_A AM48-8,Lachnospira eligens_A GCA_001405395,0.91924,pos,0.91924,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira eligens_A GCA_001405395,0.87405,pos,0.87405,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira eligens_A GCA_009680455,0.49123,pos,0.49123,0,0
Acetatifactor sp. 13470_2_92,Lachnospira eligens_A GCA_009680455,0.49693,pos,0.49693,0,0
Acetatifactor sp. AF34-10BH,Lachnospira eligens_A GCA_009680455,0.51072,pos,0.51072,0,0
Acetatifactor sp. AF36-18BH,Lachnospira eligens_A GCA_009680455,0.50207,pos,0.50207,0,0
Acetatifactor sp. AF46-9NS,Lachnospira eligens_A GCA_009680455,0.46436,pos,0.46436,0,0
Acetatifactor sp. AM34-9AC,Lachnospira eligens_A GCA_009680455,0.50938,pos,0.50938,0,0
Acetatifactor sp. GCA_003584705,Lachnospira eligens_A GCA_009680455,0.48552,pos,0.48552,0,0
Acetatifactor sp. TF08-15,Lachnospira eligens_A GCA_009680455,0.49133,pos,0.49133,0,0
Acetatifactor sp. TM11-1A,Lachnospira eligens_A GCA_009680455,0.48436,pos,0.48436,0,0
Agathobacter faecis 21673_4_84,Lachnospira eligens_A GCA_009680455,0.3771,pos,0.3771,0,0
Agathobacter faecis GCA_001405615,Lachnospira eligens_A GCA_009680455,0.3798,pos,0.3798,0,0
Agathobacter faecis GCA_001406815,Lachnospira eligens_A GCA_009680455,0.38078,pos,0.38078,0,0
Agathobacter faecis GCA_015549075,Lachnospira eligens_A GCA_009680455,0.37642,pos,0.37642,0,0
Agathobacter faecis GCA_015550045,Lachnospira eligens_A GCA_009680455,0.40642,pos,0.40642,0,0
Agathobacter faecis GCA_015556245,Lachnospira eligens_A GCA_009680455,0.36051,pos,0.36051,0,0
Agathobacter faecis GCA_015558055,Lachnospira eligens_A GCA_009680455,0.39102,pos,0.39102,0,0
Agathobacter faecis GCA_015559645,Lachnospira eligens_A GCA_009680455,0.30951,pos,0.30951,0,0
Agathobacter faecis GCA_015667215,Lachnospira eligens_A GCA_009680455,0.40724,pos,0.40724,0,0
Agathobacter faecis TF10-5,Lachnospira eligens_A GCA_009680455,0.38541,pos,0.38541,0,0
Enterocloster bolteae GCF_000154365,Lachnospira eligens_A GCA_009680455,0.33036,neg,-0.33036,0,0
Lachnospira eligens GCA_000146185,Lachnospira eligens_A GCA_009680455,0.90525,pos,0.90525,0,0
Lachnospira eligens_A AF06-14,Lachnospira eligens_A GCA_009680455,0.89674,pos,0.89674,0,0
Lachnospira eligens_A AF18-47,Lachnospira eligens_A GCA_009680455,0.88777,pos,0.88777,0,0
Lachnospira eligens_A AF35-21,Lachnospira eligens_A GCA_009680455,0.88527,pos,0.88527,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira eligens_A GCA_009680455,0.61014,pos,0.61014,0,0
Lachnospira eligens_A AF41-18,Lachnospira eligens_A GCA_009680455,0.83853,pos,0.83853,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira eligens_A GCA_009680455,0.67009,pos,0.67009,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira eligens_A GCA_009680455,0.85268,pos,0.85268,0,0
Lachnospira eligens_A AM14-19,Lachnospira eligens_A GCA_009680455,0.87514,pos,0.87514,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira eligens_A GCA_009680455,0.87158,pos,0.87158,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira eligens_A GCA_009680455,0.88502,pos,0.88502,0,0
Lachnospira eligens_A AM43-40,Lachnospira eligens_A GCA_009680455,0.6059,pos,0.6059,0,0
Lachnospira eligens_A AM48-8,Lachnospira eligens_A GCA_009680455,0.89324,pos,0.89324,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira eligens_A GCA_009680455,0.90521,pos,0.90521,0,0
Lachnospira eligens_A GCA_001405395,Lachnospira eligens_A GCA_009680455,0.88717,pos,0.88717,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira eligens_A GCA_015559345,0.48558,pos,0.48558,0,0
Acetatifactor sp. 13470_2_92,Lachnospira eligens_A GCA_015559345,0.47426,pos,0.47426,0,0
Acetatifactor sp. AF34-10BH,Lachnospira eligens_A GCA_015559345,0.47928,pos,0.47928,0,0
Acetatifactor sp. AF36-18BH,Lachnospira eligens_A GCA_015559345,0.47637,pos,0.47637,0,0
Acetatifactor sp. AF46-9NS,Lachnospira eligens_A GCA_015559345,0.42827,pos,0.42827,0,0
Acetatifactor sp. AM34-9AC,Lachnospira eligens_A GCA_015559345,0.48248,pos,0.48248,0,0
Acetatifactor sp. GCA_003584705,Lachnospira eligens_A GCA_015559345,0.4496,pos,0.4496,0,0
Acetatifactor sp. TF08-15,Lachnospira eligens_A GCA_015559345,0.47895,pos,0.47895,0,0
Acetatifactor sp. TM11-1A,Lachnospira eligens_A GCA_015559345,0.46675,pos,0.46675,0,0
Agathobacter faecis 21673_4_84,Lachnospira eligens_A GCA_015559345,0.32128,pos,0.32128,0,0
Agathobacter faecis GCA_001405615,Lachnospira eligens_A GCA_015559345,0.32176,pos,0.32176,0,0
Agathobacter faecis GCA_001406815,Lachnospira eligens_A GCA_015559345,0.33188,pos,0.33188,0,0
Agathobacter faecis GCA_015549075,Lachnospira eligens_A GCA_015559345,0.32743,pos,0.32743,0,0
Agathobacter faecis GCA_015550045,Lachnospira eligens_A GCA_015559345,0.35892,pos,0.35892,0,0
Agathobacter faecis GCA_015556245,Lachnospira eligens_A GCA_015559345,0.30614,pos,0.30614,0,0
Agathobacter faecis GCA_015558055,Lachnospira eligens_A GCA_015559345,0.33828,pos,0.33828,0,0
Agathobacter faecis GCA_015667215,Lachnospira eligens_A GCA_015559345,0.34972,pos,0.34972,0,0
Agathobacter faecis TF10-5,Lachnospira eligens_A GCA_015559345,0.34433,pos,0.34433,0,0
Lachnospira eligens GCA_000146185,Lachnospira eligens_A GCA_015559345,0.90985,pos,0.90985,0,0
Lachnospira eligens_A AF06-14,Lachnospira eligens_A GCA_015559345,0.91291,pos,0.91291,0,0
Lachnospira eligens_A AF18-47,Lachnospira eligens_A GCA_015559345,0.90251,pos,0.90251,0,0
Lachnospira eligens_A AF35-21,Lachnospira eligens_A GCA_015559345,0.92265,pos,0.92265,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira eligens_A GCA_015559345,0.6363,pos,0.6363,0,0
Lachnospira eligens_A AF41-18,Lachnospira eligens_A GCA_015559345,0.86274,pos,0.86274,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira eligens_A GCA_015559345,0.72655,pos,0.72655,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira eligens_A GCA_015559345,0.89089,pos,0.89089,0,0
Lachnospira eligens_A AM14-19,Lachnospira eligens_A GCA_015559345,0.90173,pos,0.90173,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira eligens_A GCA_015559345,0.90155,pos,0.90155,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira eligens_A GCA_015559345,0.8991,pos,0.8991,0,0
Lachnospira eligens_A AM43-40,Lachnospira eligens_A GCA_015559345,0.64005,pos,0.64005,0,0
Lachnospira eligens_A AM48-8,Lachnospira eligens_A GCA_015559345,0.89893,pos,0.89893,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira eligens_A GCA_015559345,0.88737,pos,0.88737,0,0
Lachnospira eligens_A GCA_001405395,Lachnospira eligens_A GCA_015559345,0.90235,pos,0.90235,0,0
Lachnospira eligens_A GCA_009680455,Lachnospira eligens_A GCA_015559345,0.89746,pos,0.89746,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira rogosae GCA_001405835,0.35132,pos,0.35132,0,0
Acetatifactor sp. 13470_2_92,Lachnospira rogosae GCA_001405835,0.33014,pos,0.33014,0,0
Acetatifactor sp. AF34-10BH,Lachnospira rogosae GCA_001405835,0.37805,pos,0.37805,0,0
Acetatifactor sp. AF36-18BH,Lachnospira rogosae GCA_001405835,0.35823,pos,0.35823,0,0
Acetatifactor sp. AF46-9NS,Lachnospira rogosae GCA_001405835,0.31405,pos,0.31405,0,0
Acetatifactor sp. AM34-9AC,Lachnospira rogosae GCA_001405835,0.36097,pos,0.36097,0,0
Acetatifactor sp. GCA_003584705,Lachnospira rogosae GCA_001405835,0.37559,pos,0.37559,0,0
Acetatifactor sp. TF08-15,Lachnospira rogosae GCA_001405835,0.36089,pos,0.36089,0,0
Acetatifactor sp. TM11-1A,Lachnospira rogosae GCA_001405835,0.34309,pos,0.34309,0,0
Agathobacter faecis 21673_4_84,Lachnospira rogosae GCA_001405835,0.31092,pos,0.31092,0,0
Agathobacter faecis GCA_001405615,Lachnospira rogosae GCA_001405835,0.33406,pos,0.33406,0,0
Agathobacter faecis GCA_001406815,Lachnospira rogosae GCA_001405835,0.31817,pos,0.31817,0,0
Agathobacter faecis GCA_015549075,Lachnospira rogosae GCA_001405835,0.32452,pos,0.32452,0,0
Agathobacter faecis GCA_015550045,Lachnospira rogosae GCA_001405835,0.32663,pos,0.32663,0,0
Agathobacter faecis GCA_015556245,Lachnospira rogosae GCA_001405835,0.32845,pos,0.32845,0,0
Agathobacter faecis GCA_015558055,Lachnospira rogosae GCA_001405835,0.3201,pos,0.3201,0,0
Agathobacter faecis GCA_015667215,Lachnospira rogosae GCA_001405835,0.34985,pos,0.34985,0,0
Agathobacter faecis TF10-5,Lachnospira rogosae GCA_001405835,0.32603,pos,0.32603,0,0
Lachnospira eligens GCA_000146185,Lachnospira rogosae GCA_001405835,0.54494,pos,0.54494,0,0
Lachnospira eligens_A AF06-14,Lachnospira rogosae GCA_001405835,0.47085,pos,0.47085,0,0
Lachnospira eligens_A AF18-47,Lachnospira rogosae GCA_001405835,0.48208,pos,0.48208,0,0
Lachnospira eligens_A AF35-21,Lachnospira rogosae GCA_001405835,0.47161,pos,0.47161,0,0
Lachnospira eligens_A AF41-18,Lachnospira rogosae GCA_001405835,0.40688,pos,0.40688,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira rogosae GCA_001405835,0.31147,pos,0.31147,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira rogosae GCA_001405835,0.40179,pos,0.40179,0,0
Lachnospira eligens_A AM14-19,Lachnospira rogosae GCA_001405835,0.43965,pos,0.43965,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira rogosae GCA_001405835,0.44969,pos,0.44969,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira rogosae GCA_001405835,0.48071,pos,0.48071,0,0
Lachnospira eligens_A AM48-8,Lachnospira rogosae GCA_001405835,0.48554,pos,0.48554,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira rogosae GCA_001405835,0.56863,pos,0.56863,0,0
Lachnospira eligens_A GCA_001405395,Lachnospira rogosae GCA_001405835,0.47389,pos,0.47389,0,0
Lachnospira eligens_A GCA_009680455,Lachnospira rogosae GCA_001405835,0.58775,pos,0.58775,0,0
Lachnospira eligens_A GCA_015559345,Lachnospira rogosae GCA_001405835,0.48301,pos,0.48301,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira rogosae GCA_001406555,0.34547,pos,0.34547,0,0
Acetatifactor sp. 13470_2_92,Lachnospira rogosae GCA_001406555,0.32381,pos,0.32381,0,0
Acetatifactor sp. AF34-10BH,Lachnospira rogosae GCA_001406555,0.37316,pos,0.37316,0,0
Acetatifactor sp. AF36-18BH,Lachnospira rogosae GCA_001406555,0.35413,pos,0.35413,0,0
Acetatifactor sp. AF46-9NS,Lachnospira rogosae GCA_001406555,0.30345,pos,0.30345,0,0
Acetatifactor sp. AM34-9AC,Lachnospira rogosae GCA_001406555,0.35566,pos,0.35566,0,0
Acetatifactor sp. GCA_003584705,Lachnospira rogosae GCA_001406555,0.37296,pos,0.37296,0,0
Acetatifactor sp. TF08-15,Lachnospira rogosae GCA_001406555,0.35687,pos,0.35687,0,0
Acetatifactor sp. TM11-1A,Lachnospira rogosae GCA_001406555,0.33938,pos,0.33938,0,0
Agathobacter faecis 21673_4_84,Lachnospira rogosae GCA_001406555,0.31358,pos,0.31358,0,0
Agathobacter faecis GCA_001405615,Lachnospira rogosae GCA_001406555,0.32644,pos,0.32644,0,0
Agathobacter faecis GCA_001406815,Lachnospira rogosae GCA_001406555,0.31924,pos,0.31924,0,0
Agathobacter faecis GCA_015549075,Lachnospira rogosae GCA_001406555,0.3189,pos,0.3189,0,0
Agathobacter faecis GCA_015550045,Lachnospira rogosae GCA_001406555,0.31964,pos,0.31964,0,0
Agathobacter faecis GCA_015556245,Lachnospira rogosae GCA_001406555,0.32481,pos,0.32481,0,0
Agathobacter faecis GCA_015558055,Lachnospira rogosae GCA_001406555,0.31744,pos,0.31744,0,0
Agathobacter faecis GCA_015667215,Lachnospira rogosae GCA_001406555,0.34242,pos,0.34242,0,0
Agathobacter faecis TF10-5,Lachnospira rogosae GCA_001406555,0.32457,pos,0.32457,0,0
Lachnospira eligens GCA_000146185,Lachnospira rogosae GCA_001406555,0.52647,pos,0.52647,0,0
Lachnospira eligens_A AF06-14,Lachnospira rogosae GCA_001406555,0.45263,pos,0.45263,0,0
Lachnospira eligens_A AF18-47,Lachnospira rogosae GCA_001406555,0.4649,pos,0.4649,0,0
Lachnospira eligens_A AF35-21,Lachnospira rogosae GCA_001406555,0.45835,pos,0.45835,0,0
Lachnospira eligens_A AF41-18,Lachnospira rogosae GCA_001406555,0.39616,pos,0.39616,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira rogosae GCA_001406555,0.30258,pos,0.30258,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira rogosae GCA_001406555,0.38153,pos,0.38153,0,0
Lachnospira eligens_A AM14-19,Lachnospira rogosae GCA_001406555,0.42126,pos,0.42126,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira rogosae GCA_001406555,0.43418,pos,0.43418,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira rogosae GCA_001406555,0.46758,pos,0.46758,0,0
Lachnospira eligens_A AM48-8,Lachnospira rogosae GCA_001406555,0.4653,pos,0.4653,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira rogosae GCA_001406555,0.54576,pos,0.54576,0,0
Lachnospira eligens_A GCA_001405395,Lachnospira rogosae GCA_001406555,0.46066,pos,0.46066,0,0
Lachnospira eligens_A GCA_009680455,Lachnospira rogosae GCA_001406555,0.56571,pos,0.56571,0,0
Lachnospira eligens_A GCA_015559345,Lachnospira rogosae GCA_001406555,0.46827,pos,0.46827,0,0
Lachnospira rogosae GCA_001405835,Lachnospira rogosae GCA_001406555,0.97977,pos,0.97977,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira sp. AF22-9,0.4829,pos,0.4829,0,0
Acetatifactor sp. 13470_2_92,Lachnospira sp. AF22-9,0.49554,pos,0.49554,0,0
Acetatifactor sp. AF34-10BH,Lachnospira sp. AF22-9,0.49843,pos,0.49843,0,0
Acetatifactor sp. AF36-18BH,Lachnospira sp. AF22-9,0.49631,pos,0.49631,0,0
Acetatifactor sp. AF46-9NS,Lachnospira sp. AF22-9,0.4469,pos,0.4469,0,0
Acetatifactor sp. AM34-9AC,Lachnospira sp. AF22-9,0.49248,pos,0.49248,0,0
Acetatifactor sp. GCA_003584705,Lachnospira sp. AF22-9,0.47404,pos,0.47404,0,0
Acetatifactor sp. TF08-15,Lachnospira sp. AF22-9,0.48527,pos,0.48527,0,0
Acetatifactor sp. TM11-1A,Lachnospira sp. AF22-9,0.47713,pos,0.47713,0,0
Agathobacter faecis 21673_4_84,Lachnospira sp. AF22-9,0.34458,pos,0.34458,0,0
Agathobacter faecis GCA_001405615,Lachnospira sp. AF22-9,0.34915,pos,0.34915,0,0
Agathobacter faecis GCA_001406815,Lachnospira sp. AF22-9,0.3501,pos,0.3501,0,0
Agathobacter faecis GCA_015549075,Lachnospira sp. AF22-9,0.35155,pos,0.35155,0,0
Agathobacter faecis GCA_015550045,Lachnospira sp. AF22-9,0.38673,pos,0.38673,0,0
Agathobacter faecis GCA_015556245,Lachnospira sp. AF22-9,0.33499,pos,0.33499,0,0
Agathobacter faecis GCA_015558055,Lachnospira sp. AF22-9,0.36955,pos,0.36955,0,0
Agathobacter faecis GCA_015559645,Lachnospira sp. AF22-9,0.31276,pos,0.31276,0,0
Agathobacter faecis GCA_015667215,Lachnospira sp. AF22-9,0.37916,pos,0.37916,0,0
Agathobacter faecis TF10-5,Lachnospira sp. AF22-9,0.35938,pos,0.35938,0,0
Lachnospira eligens GCA_000146185,Lachnospira sp. AF22-9,0.94008,pos,0.94008,0,0
Lachnospira eligens_A AF06-14,Lachnospira sp. AF22-9,0.87423,pos,0.87423,0,0
Lachnospira eligens_A AF18-47,Lachnospira sp. AF22-9,0.86927,pos,0.86927,0,0
Lachnospira eligens_A AF35-21,Lachnospira sp. AF22-9,0.8737,pos,0.8737,0,0
Lachnospira eligens_A AF36-7BH,Lachnospira sp. AF22-9,0.59003,pos,0.59003,0,0
Lachnospira eligens_A AF41-18,Lachnospira sp. AF22-9,0.82913,pos,0.82913,0,0
Lachnospira eligens_A AF42-3BH,Lachnospira sp. AF22-9,0.67627,pos,0.67627,0,0
Lachnospira eligens_A AF45-13BH,Lachnospira sp. AF22-9,0.84847,pos,0.84847,0,0
Lachnospira eligens_A AM14-19,Lachnospira sp. AF22-9,0.86622,pos,0.86622,0,0
Lachnospira eligens_A AM32-2AC,Lachnospira sp. AF22-9,0.85486,pos,0.85486,0,0
Lachnospira eligens_A AM37-3BH,Lachnospira sp. AF22-9,0.86019,pos,0.86019,0,0
Lachnospira eligens_A AM43-40,Lachnospira sp. AF22-9,0.59448,pos,0.59448,0,0
Lachnospira eligens_A AM48-8,Lachnospira sp. AF22-9,0.85859,pos,0.85859,0,0
Lachnospira eligens_A GCA_001404435,Lachnospira sp. AF22-9,0.88912,pos,0.88912,0,0
Lachnospira eligens_A GCA_001405395,Lachnospira sp. AF22-9,0.88638,pos,0.88638,0,0
Lachnospira eligens_A GCA_009680455,Lachnospira sp. AF22-9,0.89377,pos,0.89377,0,0
Lachnospira eligens_A GCA_015559345,Lachnospira sp. AF22-9,0.90267,pos,0.90267,0,0
Lachnospira rogosae GCA_001405835,Lachnospira sp. AF22-9,0.50356,pos,0.50356,0,0
Lachnospira rogosae GCA_001406555,Lachnospira sp. AF22-9,0.48513,pos,0.48513,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira sp. AM46-8,0.501,pos,0.501,0,0
Acetatifactor sp. 13470_2_92,Lachnospira sp. AM46-8,0.49855,pos,0.49855,0,0
Acetatifactor sp. AF34-10BH,Lachnospira sp. AM46-8,0.5132,pos,0.5132,0,0
Acetatifactor sp. AF36-18BH,Lachnospira sp. AM46-8,0.52071,pos,0.52071,0,0
Acetatifactor sp. AF46-9NS,Lachnospira sp. AM46-8,0.47017,pos,0.47017,0,0
Acetatifactor sp. AM34-9AC,Lachnospira sp. AM46-8,0.52304,pos,0.52304,0,0
Acetatifactor sp. GCA_003584705,Lachnospira sp. AM46-8,0.47987,pos,0.47987,0,0
Acetatifactor sp. TF08-15,Lachnospira sp. AM46-8,0.50283,pos,0.50283,0,0
Acetatifactor sp. TM11-1A,Lachnospira sp. AM46-8,0.50346,pos,0.50346,0,0
Agathobacter faecis 21673_4_84,Lachnospira sp. AM46-8,0.36406,pos,0.36406,0,0
Agathobacter faecis GCA_001405615,Lachnospira sp. AM46-8,0.35687,pos,0.35687,0,0
Agathobacter faecis GCA_001406815,Lachnospira sp. AM46-8,0.3682,pos,0.3682,0,0
Agathobacter faecis GCA_015549075,Lachnospira sp. AM46-8,0.36633,pos,0.36633,0,0
Agathobacter faecis GCA_015550045,Lachnospira sp. AM46-8,0.39521,pos,0.39521,0,0
Agathobacter faecis GCA_015556245,Lachnospira sp. AM46-8,0.34882,pos,0.34882,0,0
Agathobacter faecis GCA_015558055,Lachnospira sp. AM46-8,0.37974,pos,0.37974,0,0
